feature_id,geometry_type,geometry_longitude,geometry_latitude,ag_geom,x,y,long,lat,org_nam,str_use,str_nam,str_adr,stt_cde,alt_val,int_len,int_grd,sht_grd,lnd_siz,pad_siz,hor_rad,com_dat,use_dat,use_typ
LT_P_AISHCSTRIP.6,Point,130.002599444,35.427728611,POINT(130.002599444 35.427728611),130.002599443999884,35.427728610999964,"130° 0' 9.358"" E","35° 25' 39.823"" N",부항청,사용,동해-1가스전 해상헬기장,울산광역시 앞바다 동남쪽 58km,해상,47.6,1000,0.292361111111111,2:1,22.3×22.3,22.3×22.3,200,2004-06-03,2004-10-01,주·야간시계비행
LT_P_AISHCSTRIP.60,Point,127.4113,36.697175,POINT(127.4113 36.697175),127.411299999999983,36.697174999999959,"127° 24' 40.680"" E","36° 41' 49.830"" N",서항청,사용,LG화학 오창 옥상헬기장,충북 청원군 옥산면 남촌리 1114-1번지,사설,62.8,"1,000m",1:8,1:2,19.20m×22.1m,19.20m×16.1m,200m,13.6.12.,13.7.15.,"주,야간시계비행"
LT_P_AISHCSTRIP.61,Point,126.951465742,37.3259849999999,POINT(126.951465742 37.3259849999999),126.951465741999982,37.325984999999946,"126° 57' 5.277"" E","37° 19' 33.546"" N",서항청,사용,현대자동차 의왕연구소 옥상헬기장,경기도 의왕시 삼동 576,사설,161.02m,"1,000m",1:8,1:2,19.50m×22.5m,19.50m×16.5m,200m,13.4.9.,13.8.8.,"주,야간시계비행"
LT_P_AISHCSTRIP.62,Point,126.9296875,37.5280761719999,POINT(126.9296875 37.5280761719999),126.929687499999886,37.528076171999942,"126° 55' 46.875"" E","37° 31' 41.074"" N",서항청,사용,LG트윈타워 옥상헬기장 (동관),서울시 영등포구 여의도동 20번지,사설,151m,"1,000m",1:8,1:2,19.2m×22.1m,19.20m×16.1m,200m,13.6.14.,13.8.1.,"주,야간 시계비행"
LT_P_AISHCSTRIP.63,Point,126.928710938,37.527709961,POINT(126.928710938 37.527709961),126.928710937999881,37.527709960999971,"126° 55' 43.359"" E","37° 31' 39.756"" N",서항청,사용,LG트윈타워 옥상헬기장 (서관),서울시 영등포구 여의도동 20번지,사설,151m,"1,000m",1:8,1:2,19.1m×22.1m,19.20m×16.1m,200m,13.6.14.,13.8.1.,"주,야간 시계비행"
LT_P_AISHCSTRIP.64,Point,127.382324219,36.3555297849999,POINT(127.382324219 36.3555297849999),127.382324218999884,36.355529784999931,"127° 22' 56.367"" E","36° 21' 19.907"" N",서항청,사용,을지병원 옥상헬기장,대전 서구 둔산서로 95,사설,123.08m,"1,000m",1:8,1:2,27.2m×27.2m,15m×15m,200m,14.3.17.,14.12.24.,"주,야간 시계비행"
LT_P_AISHCSTRIP.65,Point,127.047485352,37.27947998,POINT(127.047485352 37.27947998),127.047485351999967,37.279479979999962,"127° 2' 50.947"" E","37° 16' 46.128"" N",서항청,사용,아주대병원 옥상헬기장,경기도 수원시 영통구 월드컵로 164,사설,123.6m,"1,000m",1:8,1:2,27.16m×27.16m,15m×15m,200m,14.6.19.,16.3.29.,"주,야간 시계비행"
LT_P_AISHCSTRIP.66,Point,126.642089844,37.5554809569999,POINT(126.642089844 37.5554809569999),126.642089843999884,37.555480956999929,"126° 38' 31.523"" E","37° 33' 19.731"" N",서항청,사용,LG마그나 옥상헬기장 (구 LG전자 인천캠퍼스 옥상헬기장),인천시 서구 경명대로 322,사설,60m,"1,000m",1:8,1:2,35.4m×35.4m,19.2m×19.2m,200m,16.2.4.,17.7.19.,"주,야간 시계비행"
LT_P_AISHCSTRIP.67,Point,127.500302778,36.726133333,POINT(127.500302778 36.726133333),127.500302777999991,36.726133332999950,"127° 30' 1.090"" E","36° 43' 34.080"" N",서항청,사용,RHF 헬기장,충북 청주시 청원구 오창대로 980,사설,60m,"1,000m",1:8,1:2,49.0m×64.0m,30.0m×30.0m,,07.5.10.,07.12.27.,주간시계비행
LT_P_AISHCSTRIP.68,Point,126.831283333,37.5636583329999,POINT(126.831283333 37.5636583329999),126.831283332999988,37.563658332999921,"126° 49' 52.620"" E","37° 33' 49.170"" N",서항청,사용,LG사이언스파크 옥상헬기장,서울시 강서구 마곡동 770-1번지,사설,57.30m,"1,000m",1:8,1:2,35.2m×35.2m,19.2m×19.2m,200m,17.1.16.,17.10.2.,주간시계비행
LT_P_AISHCSTRIP.69,Point,126.960083008,35.965698242,POINT(126.960083008 35.965698242),126.960083007999970,35.965698241999974,"126° 57' 36.299"" E","35° 57' 56.514"" N",서항청,사용,원광대학교병원 옥상헬기장,전북 익산시 무왕로 895,사설,10.82m,"1,000m",1:8,1:2,27.2m×27.2m,15m×15m,200m,17.3.29,17.11.7.,주야간시계비행
